Location,Full_%,Current_Elevation_ft,Current_Storage_af,Remaining_Elevation_ft,Available_Storage_af,24hr.Change,Rain_inches,Date,Highest_temperature,Lowest_temperature,Highest_humidity,Lowest_humidity
Total Reservoir System,49,,"1,120,634",,"1,171,056","1,621",,2019-02-04,69,47 ,100,52
Total system year ago,61,,,,,,,2019-02-04,69,47 ,100,52
Roosevelt Lake (Roosevelt Dam),41,"2,093.25","674,880",57.75,"956,652","1,499",0.15,2019-02-05,69,47 ,100,44
Apache Lake (Horse Mesa Dam),92,"1,906.33","225,215",7.67,"19,923",0,0.05,2019-02-05,69,47 ,100,44
Canyon Lake (Mormon Flat Dam),95,"1,657.68","55,195",2.82,"2,657",112,0.03,2019-02-05,69,47 ,100,44
Saguaro Lake (Stewart Mountain Dam),92,"1,524.70","64,455",4.30,"5,310",-10,0.01,2019-02-05,69,47 ,100,44
Total Salt system,51,,"1,019,745",,"984,542","1,601",,2019-02-05,69,47 ,100,44
Horseshoe Lake (Horseshoe Dam),30,"1,989.42","32,283",36.58,"76,934","8,675",0.01,2019-02-05,69,47 ,100,44
Bartlett Lake (Bartlett Dam),44,"1,752.41","78,930",45.59,"99,256",48,0.08,2019-02-05,69,47 ,100,44
Total Verde system,39,,"111,213",,"176,190","8,723",,2019-02-05,69,47 ,100,44
Total Reservoir System,49,,"1,130,958",,"1,160,732","10,324",,2019-02-05,69,47 ,100,44
Total system year ago,61,,,,,,,2019-02-05,69,47 ,100,44
Roosevelt Lake (Roosevelt Dam),42,"2,093.77","681,406",57.23,"950,126","6,526",0.14,2019-02-06,69,48 ,77,44
Apache Lake (Horse Mesa Dam),92,"1,906.32","225,195",7.68,"19,943",-20,0.34,2019-02-06,69,48 ,77,44
Canyon Lake (Mormon Flat Dam),96,"1,657.80","55,307",2.70,"2,545",112,0.35,2019-02-06,69,48 ,77,44
Saguaro Lake (Stewart Mountain Dam),92,"1,524.72","64,473",4.28,"5,292",18,0.28,2019-02-06,69,48 ,77,44
Total Salt system,51,,"1,026,381",,"977,906","6,636",,2019-02-06,69,48 ,77,44
Horseshoe Lake (Horseshoe Dam),37,"1,994.32","40,312",31.68,"68,905","8,029",0.87,2019-02-06,69,48 ,77,44
Bartlett Lake (Bartlett Dam),44,"1,752.46","79,011",45.54,"99,175",81,0.21,2019-02-06,69,48 ,77,44
Total Verde system,42,,"119,323",,"168,080","8,110",,2019-02-06,69,48 ,77,44
Total Reservoir System,50,,"1,145,704",,"1,145,986","14,746",,2019-02-06,69,48 ,77,44
Total system year ago,61,,,,,,,2019-02-06,69,48 ,77,44
Roosevelt Lake (Roosevelt Dam),42,"2,094.48","690,349",56.52,"941,183","8,943",0.00,2019-02-07,70,48 ,77,19
Apache Lake (Horse Mesa Dam),92,"1,906.07","224,549",7.93,"20,589",-646,0.00,2019-02-07,70,48 ,77,19
Canyon Lake (Mormon Flat Dam),97,"1,658.53","55,990",1.97,"1,862",683,0.00,2019-02-07,70,48 ,77,19
Saguaro Lake (Stewart Mountain Dam),92,"1,524.70","64,455",4.30,"5,310",-18,0.00,2019-02-07,70,48 ,77,19
Total Salt system,52,,"1,035,343",,"968,944","8,962",,2019-02-07,70,48 ,77,19
Horseshoe Lake (Horseshoe Dam),46,"1,999.68","49,787",26.32,"59,430","9,475",0.00,2019-02-07,70,48 ,77,19
Bartlett Lake (Bartlett Dam),45,"1,752.64","79,300",45.36,"98,886",289,0.00,2019-02-07,70,48 ,77,19
Total Verde system,45,,"129,087",,"158,316","9,764",,2019-02-07,70,48 ,77,19
Total Reservoir System,51,,"1,164,430",,"1,127,260","18,726",,2019-02-07,70,48 ,77,19
Total system year ago,61,,,,,,,2019-02-07,70,48 ,77,19
Roosevelt Lake (Roosevelt Dam),43,"2,095.06","697,712",55.94,"933,820","7,363",0.00,2019-02-08,70,48 ,70,16
Apache Lake (Horse Mesa Dam),91,"1,905.46","223,013",8.54,"22,125","-1,536",0.00,2019-02-08,70,48 ,70,16
Canyon Lake (Mormon Flat Dam),100,"1,660.32","57,681",0.18,171,"1,691",0.00,2019-02-08,70,48 ,70,16
Saguaro Lake (Stewart Mountain Dam),92,"1,524.69","64,437",4.31,"5,328",-18,0.00,2019-02-08,70,48 ,70,16
Total Salt system,52,,"1,042,843",,"961,444","7,500",,2019-02-08,70,48 ,70,16
Horseshoe Lake (Horseshoe Dam),49,"2,001.53","53,231",24.47,"55,986","3,444",0.00,2019-02-08,70,48 ,70,16
Bartlett Lake (Bartlett Dam),45,"1,752.89","79,705",45.11,"98,481",405,0.00,2019-02-08,70,48 ,70,16
Total Verde system,46,,"132,936",,"154,467","3,849",,2019-02-08,70,48 ,70,16
Total Reservoir System,51,,"1,175,779",,"1,115,911","11,349",,2019-02-08,70,48 ,70,16
Total system year ago,61,,,,,,,2019-02-08,70,48 ,70,16
Roosevelt Lake (Roosevelt Dam),43,"2,095.40","702,048",55.60,"929,484","4,336",0.00,2019-02-09,70,48 ,76,18
Apache Lake (Horse Mesa Dam),92,"1,906.41","225,424",7.59,"19,714","2,411",0.00,2019-02-09,70,48 ,76,18
Canyon Lake (Mormon Flat Dam),95,"1,657.56","55,083",2.94,"2,769","-2,598",0.00,2019-02-09,70,48 ,76,18
Saguaro Lake (Stewart Mountain Dam),92,"1,524.69","64,437",4.31,"5,328",0,0.00,2019-02-09,70,48 ,76,18
Total Salt system,52,,"1,046,992",,"957,295","4,149",,2019-02-09,70,48 ,76,18
Horseshoe Lake (Horseshoe Dam),50,"2,002.54","55,141",23.46,"54,076","1,910",0.00,2019-02-09,70,48 ,76,18
Bartlett Lake (Bartlett Dam),45,"1,753.19","80,191",44.81,"97,995",486,0.00,2019-02-09,70,48 ,76,18
Total Verde system,47,,"135,332",,"152,071","2,396",,2019-02-09,70,48 ,76,18
Total Reservoir System,52,,"1,182,324",,"1,109,366","6,545",,2019-02-09,70,48 ,76,18
Total system year ago,61,,,,,,,2019-02-09,70,48 ,76,18
Roosevelt Lake (Roosevelt Dam),43,"2,095.63","704,990",55.37,"926,542","2,942",0.00,2019-02-10,70,48 ,70,29
Apache Lake (Horse Mesa Dam),92,"1,906.25","225,005",7.75,"20,133",-419,0.00,2019-02-10,70,48 ,70,29
Canyon Lake (Mormon Flat Dam),96,"1,658.03","55,523",2.47,"2,329",440,0.00,2019-02-10,70,48 ,70,29
Saguaro Lake (Stewart Mountain Dam),92,"1,524.68","64,428",4.32,"5,337",-9,0.00,2019-02-10,70,48 ,70,29
Total Salt system,52,,"1,049,946",,"954,341","2,954",,2019-02-10,70,48 ,70,29
Horseshoe Lake (Horseshoe Dam),51,"2,003.09","56,193",22.91,"53,024","1,052",0.00,2019-02-10,70,48 ,70,29
Bartlett Lake (Bartlett Dam),45,"1,753.50","80,695",44.50,"97,491",504,0.00,2019-02-10,70,48 ,70,29
Total Verde system,48,,"136,888",,"150,515","1,556",,2019-02-10,70,48 ,70,29
Total Reservoir System,52,,"1,186,834",,"1,104,856","4,510",,2019-02-10,70,48 ,70,29
Total system year ago,61,,,,,,,2019-02-10,70,48 ,70,29
Roosevelt Lake (Roosevelt Dam),43,"2,095.83","707,555",55.17,"923,977","2,565",0.00,2019-02-11,70,48 ,79,19
Apache Lake (Horse Mesa Dam),92,"1,906.46","225,538",7.54,"19,600",533,0.00,2019-02-11,70,48 ,79,19
Canyon Lake (Mormon Flat Dam),95,"1,657.38","54,915",3.12,"2,937",-608,0.00,2019-02-11,70,48 ,79,19
Saguaro Lake (Stewart Mountain Dam),92,"1,524.66","64,410",4.34,"5,355",-18,0.00,2019-02-11,70,48 ,79,19
Total Salt system,53,,"1,052,418",,"951,869","2,472",,2019-02-11,70,48 ,79,19
Horseshoe Lake (Horseshoe Dam),52,"2,003.44","56,861",22.56,"52,356",668,0.00,2019-02-11,70,48 ,79,19
Bartlett Lake (Bartlett Dam),46,"1,753.80","81,186",44.20,"97,000",491,0.00,2019-02-11,70,48 ,79,19
Total Verde system,48,,"138,047",,"149,356","1,159",,2019-02-11,70,48 ,79,19
Total Reservoir System,52,,"1,190,465",,"1,101,225","3,631",,2019-02-11,70,48 ,79,19
Total system year ago,61,,,,,,,2019-02-11,70,48 ,79,19
Roosevelt Lake (Roosevelt Dam),44,"2,096.00","709,739",55.00,"921,793","2,184",0.00,2019-02-12,70,48 ,62,16
Apache Lake (Horse Mesa Dam),92,"1,906.36","225,292",7.64,"19,846",-246,0.00,2019-02-12,70,48 ,62,16
Canyon Lake (Mormon Flat Dam),95,"1,657.57","55,092",2.93,"2,760",177,0.00,2019-02-12,70,48 ,62,16
Saguaro Lake (Stewart Mountain Dam),92,"1,524.65","64,392",4.35,"5,373",-18,0.00,2019-02-12,70,48 ,62,16
Total Salt system,53,,"1,054,515",,"949,772","2,097",,2019-02-12,70,48 ,62,16
Horseshoe Lake (Horseshoe Dam),52,"2,003.64","57,246",22.36,"51,971",385,0.00,2019-02-12,70,48 ,62,16
Bartlett Lake (Bartlett Dam),46,"1,754.12","81,712",43.88,"96,474",526,0.00,2019-02-12,70,48 ,62,16
Total Verde system,48,,"138,958",,"148,445",911,,2019-02-12,70,48 ,62,16
Total Reservoir System,52,,"1,193,473",,"1,098,217","3,008",,2019-02-12,70,48 ,62,16
Total system year ago,61,,,,,,,2019-02-12,70,48 ,62,16
Roosevelt Lake (Roosevelt Dam),44,"2,096.15","711,669",54.85,"919,863","1,930",0.00,2019-02-13,70,48 ,70,11
Apache Lake (Horse Mesa Dam),92,"1,906.37","225,309",7.63,"19,829",17,0.00,2019-02-13,70,48 ,70,11
Canyon Lake (Mormon Flat Dam),95,"1,657.63","55,148",2.87,"2,704",56,0.00,2019-02-13,70,48 ,70,11
Saguaro Lake (Stewart Mountain Dam),92,"1,524.64","64,382",4.36,"5,383",-10,0.00,2019-02-13,70,48 ,70,11
Total Salt system,53,,"1,056,508",,"947,779","1,993",,2019-02-13,70,48 ,70,11
Horseshoe Lake (Horseshoe Dam),52,"2,003.50","56,977",22.50,"52,240",-269,0.00,2019-02-13,70,48 ,70,11
Bartlett Lake (Bartlett Dam),46,"1,754.42","82,207",43.58,"95,979",495,0.00,2019-02-13,70,48 ,70,11
Total Verde system,48,,"139,184",,"148,219",226,,2019-02-13,70,48 ,70,11
Total Reservoir System,52,,"1,195,692",,"1,095,998","2,219",,2019-02-13,70,48 ,70,11
Total system year ago,61,,,,,,,2019-02-13,70,48 ,70,11
Roosevelt Lake (Roosevelt Dam),44,"2,096.26","713,087",54.74,"918,445","1,418",0.00,2019-02-14,71,49 ,44,18
Apache Lake (Horse Mesa Dam),92,"1,906.38","225,347",7.62,"19,791",38,0.00,2019-02-14,71,49 ,44,18
Canyon Lake (Mormon Flat Dam),95,"1,657.53","55,055",2.97,"2,797",-93,0.00,2019-02-14,71,49 ,44,18
Saguaro Lake (Stewart Mountain Dam),92,"1,524.63","64,364",4.37,"5,401",-18,0.00,2019-02-14,71,49 ,44,18
Total Salt system,53,,"1,057,853",,"946,434","1,345",,2019-02-14,71,49 ,44,18
Horseshoe Lake (Horseshoe Dam),51,"2,002.83","55,695",23.17,"53,522","-1,282",0.00,2019-02-14,71,49 ,44,18
Bartlett Lake (Bartlett Dam),47,"1,755.09","83,322",42.91,"94,864","1,115",0.00,2019-02-14,71,49 ,44,18
Total Verde system,48,,"139,017",,"148,386",-167,,2019-02-14,71,49 ,44,18
Total Reservoir System,52,,"1,196,870",,"1,094,820","1,178",,2019-02-14,71,49 ,44,18
Total system year ago,61,,,,,,,2019-02-14,71,49 ,44,18
Roosevelt Lake (Roosevelt Dam),44,"2,096.67","718,386",54.33,"913,146","5,299",2.37,2019-02-15,71,49 ,100,37
Apache Lake (Horse Mesa Dam),92,"1,906.66","226,054",7.34,"19,084",707,1.11,2019-02-15,71,49 ,100,37
Canyon Lake (Mormon Flat Dam),96,"1,657.75","55,260",2.75,"2,592",205,0.86,2019-02-15,71,49 ,100,37
Saguaro Lake (Stewart Mountain Dam),92,"1,524.67","64,419",4.33,"5,346",55,0.43,2019-02-15,71,49 ,100,37
Total Salt system,53,,"1,064,119",,"940,168","6,266",,2019-02-15,71,49 ,100,37
Horseshoe Lake (Horseshoe Dam),50,"2,002.41","54,894",23.59,"54,323",-801,0.94,2019-02-15,71,49 ,100,37
Bartlett Lake (Bartlett Dam),48,"1,756.89","86,367",41.11,"91,819","3,045",0.72,2019-02-15,71,49 ,100,37
Total Verde system,49,,"141,261",,"146,142","2,244",,2019-02-15,71,49 ,100,37
Total Reservoir System,53,,"1,205,380",,"1,086,310","8,510",,2019-02-15,71,49 ,100,37
Total system year ago,61,,,,,,,2019-02-15,71,49 ,100,37
Roosevelt Lake (Roosevelt Dam),45,"2,098.34","740,193",52.66,"891,339","21,807",0.00,2019-02-16,71,49 ,100,36
Apache Lake (Horse Mesa Dam),93,"1,907.13","227,257",6.87,"17,881","1,203",0.00,2019-02-16,71,49 ,100,36
Canyon Lake (Mormon Flat Dam),94,"1,657.06","54,618",3.44,"3,234",-642,0.00,2019-02-16,71,49 ,100,36
Saguaro Lake (Stewart Mountain Dam),92,"1,524.67","64,419",4.33,"5,346",0,0.00,2019-02-16,71,49 ,100,36
Total Salt system,54,,"1,086,487",,"917,800","22,368",,2019-02-16,71,49 ,100,36
Horseshoe Lake (Horseshoe Dam),72,"2,013.73","78,466",12.27,"30,751","23,572",0.00,2019-02-16,71,49 ,100,36
Bartlett Lake (Bartlett Dam),59,"1,767.47","105,812",30.53,"72,374","19,445",0.00,2019-02-16,71,49 ,100,36
Total Verde system,64,,"184,278",,"103,125","43,017",,2019-02-16,71,49 ,100,36
Total Reservoir System,55,,"1,270,765",,"1,020,925","65,385",,2019-02-16,71,49 ,100,36
Total system year ago,61,,,,,,,2019-02-16,71,49 ,100,36
Roosevelt Lake (Roosevelt Dam),46,"2,099.61","757,012",51.39,"874,520","16,819",0.00,2019-02-17,71,49 ,71,28
Apache Lake (Horse Mesa Dam),93,"1,907.24","227,525",6.76,"17,613",268,0.00,2019-02-17,71,49 ,71,28
Canyon Lake (Mormon Flat Dam),94,"1,656.99","54,553",3.51,"3,299",-65,0.00,2019-02-17,71,49 ,71,28
Saguaro Lake (Stewart Mountain Dam),92,"1,524.66","64,401",4.34,"5,364",-18,0.00,2019-02-17,71,49 ,71,28
Total Salt system,55,,"1,103,491",,"900,796","17,004",,2019-02-17,71,49 ,71,28
Horseshoe Lake (Horseshoe Dam),79,"2,017.16","86,553",8.84,"22,664","8,087",0.00,2019-02-17,71,49 ,71,28
Bartlett Lake (Bartlett Dam),69,"1,775.47","122,339",22.53,"55,847","16,527",0.00,2019-02-17,71,49 ,71,28
Total Verde system,73,,"208,892",,"78,511","24,614",,2019-02-17,71,49 ,71,28
Total Reservoir System,57,,"1,312,383",,"979,307","41,618",,2019-02-17,71,49 ,71,28
Total system year ago,61,,,,,,,2019-02-17,71,49 ,71,28
Roosevelt Lake (Roosevelt Dam),47,"2,100.38","767,309",50.62,"864,223","10,297",0.11,2019-02-18,71,49 ,70,25
Apache Lake (Horse Mesa Dam),93,"1,907.25","227,563",6.75,"17,575",38,0.03,2019-02-18,71,49 ,70,25
Canyon Lake (Mormon Flat Dam),95,"1,657.17","54,720",3.33,"3,132",167,0.01,2019-02-18,71,49 ,70,25
Saguaro Lake (Stewart Mountain Dam),92,"1,524.66","64,401",4.34,"5,364",0,0.01,2019-02-18,71,49 ,70,25
Total Salt system,56,,"1,113,993",,"890,294","10,502",,2019-02-18,71,49 ,70,25
Horseshoe Lake (Horseshoe Dam),80,"2,017.39","87,108",8.61,"22,109",555,0.09,2019-02-18,71,49 ,70,25
Bartlett Lake (Bartlett Dam),73,"1,779.10","130,405",18.90,"47,781","8,066",0.15,2019-02-18,71,49 ,70,25
Total Verde system,76,,"217,513",,"69,890","8,621",,2019-02-18,71,49 ,70,25
Total Reservoir System,58,,"1,331,506",,"960,184","19,123",,2019-02-18,71,49 ,70,25
Total system year ago,61,,,,,,,2019-02-18,71,49 ,70,25
Roosevelt Lake (Roosevelt Dam),47,"2,100.88","774,042",50.12,"857,490","6,733",0.23,2019-02-19,71,49 ,92,29
Apache Lake (Horse Mesa Dam),93,"1,907.36","227,851",6.64,"17,287",288,0.14,2019-02-19,71,49 ,92,29
Canyon Lake (Mormon Flat Dam),94,"1,656.99","54,553",3.51,"3,299",-167,0.06,2019-02-19,71,49 ,92,29
Saguaro Lake (Stewart Mountain Dam),92,"1,524.65","64,392",4.35,"5,373",-9,0.09,2019-02-19,71,49 ,92,29
Total Salt system,56,,"1,120,838",,"883,449","6,845",,2019-02-19,71,49 ,92,29
Horseshoe Lake (Horseshoe Dam),81,"2,017.82","88,154",8.18,"21,063","1,046",0.02,2019-02-19,71,49 ,92,29
